1	[Bibliotheksstempel] [nicht dokumentiert]
1	[Bibliographie] [nicht dokumentiert]
1	[Bezogene Bank] [nicht dokumentiert]
1	[Ausstellung] [nicht dokumentiert]
1	[Agentur] [nicht dokumentiert]
1	[Absender] [nicht dokumentiert]
1	[Absender Fax] [nicht dokumentiert]
1	[Abbildung] [nicht dokumentiert]
1	Zürich (ZH). Präsidialabteilung
1	Zimmermann & Cie.
1	Writers' Syndicate of Turkey (türkiye yazarlar sendikasi)
1	World Intellectual Property Organization (WIPO)
1	WidmendeR
1	Weltwoche Verlags AG, Zürich
1	Wallstein-Verlag
1	Ville de Fribourg
1	Vertfasser
1	Verlag Peter Engstler
1	Verlag Oprecht (Zürich)
1	Verlag Das Wunderhorn
1	Vaud. Service des affaires culturelles (SERAC)
1	VF [nicht dokumentiert]
1	Université populaire de la Broye
1	Universität Zürich. Deutsches Seminar
1	Universität Bern
1	University of Oxford
1	University of Chicago Press
1	Ufficio federale di polizia
1	Theatercombinat - Forschung theatraler Produktion und Rezeption
1	The African Interpreter
1	Süddeutscher Rundfunk
1	Swissperform
1	Studer/Ganz-Stiftung
1	Stiftung Adolf Fux
1	Sender Freies Berlin
1	Seidenhaus Adolf Grieder u. Co, Zürich (1889 -1972)
1	Secrétariat d'Etat du Ministère des Affaires étrangères
1	Schweizerisches Literaturinstitut Biel
1	Schweizerischer Schriftstellerinnen- und Schriftsteller-Verband
1	Schweizerische Rundspruchgesellschaft
1	Schweizerische Landesausstellung (1964 : Lausanne)
1	Schweizerische Heimschaffungsdelegation Berlin
1	Schweizerische Agentur des Blauen Kreuzes
1	Schweizer Radio und Fernsehen
1	Schweizer Radio DRS. Studio Zürich
1	Schweizer Radio DRS 1
1	Schweiz. Der Sonderbeauftragte für Staatsschutzakten
1	Schweiz. Botschaft (Lettland)
1	Sammler
1	SVA Zürich
1	S [nicht dokumentiert]
1	Robert-Walser-Archiv Zürich $Abgebildet
1	Rialto Film
1	RegisseurIn
1	Regisseur
1	Radiotelevisiun Svizra rumantscha
1	Radio Bern
1	Philipp Reclam Jun. GmbH & Co.
1	Penguin Books
1	PHOTO
1	OLF centre de distribution multi-média
1	Neue Helvetische Gesellschaft, Gruppe Zürich
1	Nederlands Letterkundig Museum en Documentatiecentrum
1	Museen der Stadt Wien
1	MitwirkendeR
1	Maison du livre et des mots
1	Maison Descartes (Amsterdam)
1	Lithograph
1	Literaturhaus München
1	Literaturclub Nürnberg
1	Librairie Comestibles
1	Librairie Arthaud
1	Lenos Verlag
1	Ledig House International Writers Residency
1	Körperschaft
1	Köln (Deutschland). Kulturamt
1	Kupferstecher
1	Kunz + Co. Buchhandlung
1	Jura (République et canton du)
1	Jura
1	Journal des artistes
1	InterviewpartnerIn
1	Institut national d'histoire de l'art
1	Institut für Germanistische und Allgemeine Literaturwissenschaft
1	Institut fribourgeois
1	Institut Neuchâtelois
1	Genannte Körperscchaft
1	Genannte Köroperschaft
1	Genannte Köperschaft
1	Genannte Korperschaft
1	Genannte Instiution
1	Galerie Bernheim Jeune
1	Fudan University
1	Friedrich Birrer Filmverleih
1	Friebel AG, Sursee ( - 2007)
1	France Télévision
1	Fotografen
1	Fondazione del Centenari della banca della svizzera italiana
1	Fondation Jean Dubuffet
1	Festival du livre et du disque (Nogent)
1	Erwähnter Institution
1	Erwähnte Zeitschrift
1	Erwähnte Institutionen
1	Erwähnte Instituion
1	Ente Automomo Teatro Comunale (Firenze)
1	Eidgenössische Invalidenversicherung
1	Editions Lafranca
1	Dübendorf. Stadtrat
1	Drucker; Verleger
1	Distique
