29	... [Adressatin] [nicht dokumentiert]
28	[Unterzeichner]  [nicht dokumentiert]
28	[Künstler]  [nicht dokumentiert]
27	ku  [nicht dokumentiert]
27	[Vorlagenautor] [nicht dokumentiert]
27	[Interview]  [nicht dokumentiert]
27	Musiker
27	J. [nicht dokumentiert]
27	Adressastin
27	... (Pastor) [Verfasser] [nicht dokumentiert]
26	[mutmasslich K�nstlerin] [nicht dokumentiert]
26	[Vor-, Nachw.] [nicht dokumentiert]
26	[Verfasserin] [nicht dokumentiert]
26	Genannte Körperschaft
26	G. [Zeichner] [nicht dokumentiert]
25	m [nicht dokumentiert]
25	[Zusatz] [nicht dokumentiert]
25	[Widmungsverfasserin]  [nicht dokumentiert]
25	[Verfasser [nicht dokumentiert]
25	[Verfasser Notiz] [nicht dokumentiert]
25	[Künstlerin] [nicht dokumentiert]
25	[Interviewer] [nicht dokumentiert]
25	[Grussempfänger]  [nicht dokumentiert]
25	Korrektur
24	[mutmasslich Textverfasser] [nicht dokumentiert]
24	[mutmasslich Bearbeiter] [nicht dokumentiert]
24	[Widmungsempfänger] [nicht dokumentiert]
24	[Textverfasser]  [nicht dokumentiert]
24	[Redakteur]  [nicht dokumentiert]
24	Respondens
23	[Sängerin]  [nicht dokumentiert]
23	[Foto] [nicht dokumentiert]
22	erwähnte Person
22	[Unterzeichner Vernehmungsprotokoll] [nicht dokumentiert]
22	[Pr�fer Pr�fungsprotokoll] [nicht dokumentiert]
22	[Drehbuch] [nicht dokumentiert]
22	[Absenderin Gruß] [nicht dokumentiert]
22	Sprecher
21	vf [Verfasser/in] [nicht dokumentiert]
21	[mutmasslich Schreiberin] [nicht dokumentiert]
21	, [nicht dokumentiert]
20	Beteilligt
19	[mutmasslich Unterzeichner?] [nicht dokumentiert]
19	[Schauspieler]  [nicht dokumentiert]
19	DramaturgIn
19	Abschreiber
18	geannte Person
18	[Wappenabbildung] [nicht dokumentiert]
18	[Pr�ses] [nicht dokumentiert]
18	[Korrektur]  [nicht dokumentiert]
18	[Foto]  [nicht dokumentiert]
18	Schnobbi
17	e [nicht dokumentiert]
17	[mutmasslich Architekt] [nicht dokumentiert]
17	[Unterzeichner Beilage] [nicht dokumentiert]
17	[Sprecher] [nicht dokumentiert]
16	[Vefasser] [nicht dokumentiert]
16	[Signatur]  [nicht dokumentiert]
16	Absender
16	... von [Inhaber] [nicht dokumentiert]
15	f [nicht dokumentiert]
15	[mutmasslich Photograph] [nicht dokumentiert]
15	[Unterschrift in] [nicht dokumentiert]
15	[Produktionsleitung] [nicht dokumentiert]
15	[Mitverf. [nicht dokumentiert]
15	[Grußadressatin]  [nicht dokumentiert]
14	[mutmasslich Vorlagenautor?] [nicht dokumentiert]
14	[Pr�s.] [nicht dokumentiert]
14	[Beschriftung] [nicht dokumentiert]
14	W. [Schreiber] [nicht dokumentiert]
14	Unterschrift
14	Praeses
14	Abgebildete Person
13	[mutmasslich Lebensdokument] [nicht dokumentiert]
13	[mutmasslich Komponist] [nicht dokumentiert]
13	[Zeichner]  [nicht dokumentiert]
13	[Widmungsempf�ngerin] [nicht dokumentiert]
13	[Todesanzeige]  [nicht dokumentiert]
13	[Malerin] [nicht dokumentiert]
13	[Grab]  [nicht dokumentiert]
13	[Bühnenbildner]  [nicht dokumentiert]
13	[Adressat Brief] [nicht dokumentiert]
13	J. G. [Schreiber] [nicht dokumentiert]
13	A. [Verfasser] [nicht dokumentiert]
13	... (Berlin) [Verfasser] [nicht dokumentiert]
12	vvf [nicht dokumentiert]
12	[Vernommener Vernehmungsprotokoll] [nicht dokumentiert]
12	[Verfasser Artikel] [nicht dokumentiert]
12	[Texter] [nicht dokumentiert]
12	[Maler Vorlage] [nicht dokumentiert]
12	[Korrekturen] [nicht dokumentiert]
12	[Interview] [nicht dokumentiert]
12	[Illustratorin] [nicht dokumentiert]
12	[Herausgeberin] [nicht dokumentiert]
12	[Gutachter] [nicht dokumentiert]
12	[Grussverfasserin]  [nicht dokumentiert]
12	[Bezugsperson Brief] [nicht dokumentiert]
12	[Bearbeiterin]  [nicht dokumentiert]
12	[Ausstellung]  [nicht dokumentiert]
12	Schnitt (CutterIn)
12	R... [nicht dokumentiert]
12	H. [Verfasser] [nicht dokumentiert]
12	F... [Verfasser] [nicht dokumentiert]
12	... von [Verfasser] [nicht dokumentiert]
11	de [Verfasser] [nicht dokumentiert]
11	[Widmungsverfasser] [nicht dokumentiert]
11	[Verleger] [nicht dokumentiert]
11	[Verf. Beilage] [nicht dokumentiert]
11	[Transkription]  [nicht dokumentiert]
11	[Notizempfänger]  [nicht dokumentiert]
11	[Lesung]  [nicht dokumentiert]
11	[Kommentator]  [nicht dokumentiert]
11	[Interviewter]  [nicht dokumentiert]
11	[Begründer]  [nicht dokumentiert]
11	E. [Schreiber] [nicht dokumentiert]
11	E. [Adressat] [nicht dokumentiert]
10	b [nicht dokumentiert]
10	[mutmasslich Künstler] [nicht dokumentiert]
10	[Widmungsadressatin]  [nicht dokumentiert]
10	[Notizen] [nicht dokumentiert]
10	[Notiz]  [nicht dokumentiert]
10	[Nachwort]  [nicht dokumentiert]
10	[Kopist] [nicht dokumentiert]
10	[Anmerkungen]  [nicht dokumentiert]
10	Verlag
10	Gebr. [Bankbeamter, Berlin] [Verfasser] [nicht dokumentiert]
10	G. [Verfasser] [nicht dokumentiert]
10	A. [nicht dokumentiert]
9	vg [nicht dokumentiert]
9	s [nicht dokumentiert]
9	a [nicht dokumentiert]
9	[mutmasslich Stecher] [nicht dokumentiert]
9	[Verfasser Beitrag] [nicht dokumentiert]
9	[Verfasser Beilage] [nicht dokumentiert]
9	[Schreiber in] [nicht dokumentiert]
9	[Redakteurin]  [nicht dokumentiert]
9	[Notizverfasser]  [nicht dokumentiert]
9	[Interpr.]  [nicht dokumentiert]
9	[Drucker]  [nicht dokumentiert]
9	[Buchbinder] [nicht dokumentiert]
9	[Begründer] [nicht dokumentiert]
9	[Bearbeiterin] [nicht dokumentiert]
9	[Arrangeur] [nicht dokumentiert]
9	[Anmerkung] [nicht dokumentiert]
9	Unterzeichnende
9	Erwähnte Körperschaft
9	E. B. [Verfasser] [nicht dokumentiert]
9	E. B. [Inhaber] [nicht dokumentiert]
9	C. [Schreiber] [nicht dokumentiert]
9	A. [Schreiber] [nicht dokumentiert]
9	... de [Schreiber] [nicht dokumentiert]
8	von [Verfasser] [nicht dokumentiert]
8	ku [nicht dokumentiert]
8	[Übersetzerin] [nicht dokumentiert]
8	[mutmaßl. Genannt] [nicht dokumentiert]
8	[Zusammenstellung]  [nicht dokumentiert]
8	[Unterzeichner Protokoll] [nicht dokumentiert]
8	[Transkription] [nicht dokumentiert]
8	[Nachruf] [nicht dokumentiert]
8	[Lesung] [nicht dokumentiert]
8	[Kenntnisnahme] [nicht dokumentiert]
8	[Grabstätte]  [nicht dokumentiert]
8	[Eintrag Gästebuch] [nicht dokumentiert]
8	SängerIn
8	M. [Schreiber] [nicht dokumentiert]
8	J. [Verfasser] [nicht dokumentiert]
8	Hersteller
8	H [nicht dokumentiert]
8	F. [Schreiber] [nicht dokumentiert]
8	DruckerIn
8	Dichter
8	Benannte Person
8	B. [Verfasser] [nicht dokumentiert]
7	von [nicht dokumentiert]
7	von [Verfasser/in] [nicht dokumentiert]
7	genannte Peson
7	g [Adressat/in] [nicht dokumentiert]
7	enannte Person
7	[Zusammensteller] [nicht dokumentiert]
7	[Vortrag]  [nicht dokumentiert]
7	[Sänger]  [nicht dokumentiert]
7	[Materialien [nicht dokumentiert]
7	[Interviewpartner]  [nicht dokumentiert]
7	[Handexemplar] [nicht dokumentiert]
7	[Grußverfasser]  [nicht dokumentiert]
7	[Grußadressat]  [nicht dokumentiert]
7	[Gruss]  [nicht dokumentiert]
7	[Eintrag] [nicht dokumentiert]
7	[Annotationen] [nicht dokumentiert]
7	[Adressat [nicht dokumentiert]
7	Vefasser
7	L. [Schreiber] [nicht dokumentiert]
7	Kupferstecher
7	J. [Schreiber] [nicht dokumentiert]
7	HerausgerberIn
7	H. [Adressat] [nicht dokumentiert]
7	... (Milit�r) [Schreiber] [nicht dokumentiert]
7	, ... [Verfasser] [nicht dokumentiert]
7	(Dr. med.) T. [Verfasser] [nicht dokumentiert]
6	xx [nicht dokumentiert]
6	von [Adressat] [nicht dokumentiert]
6	von [Adressat/in] [nicht dokumentiert]
6	it [nicht dokumentiert]
6	gennante Person
6	[mutmasslich Beitr.] [nicht dokumentiert]
6	[Zeichnung]  [nicht dokumentiert]
6	[Verfasser Zitat] [nicht dokumentiert]
6	[Unbeteiligt?] [nicht dokumentiert]
6	[Rezitator]  [nicht dokumentiert]
6	[Protokollant] [nicht dokumentiert]
6	[Mitunzerzeichner]  [nicht dokumentiert]
6	[Lektor]  [nicht dokumentiert]
6	[Korrektorin] [nicht dokumentiert]
6	[Herausgeberin]  [nicht dokumentiert]
6	[Grussadressatin]  [nicht dokumentiert]
6	[Ergänzung] [nicht dokumentiert]
