wert	haeufigkeit
Schieck, Hermann	75
Sommer	74
Obenander, Christoph (1526-1568)	74
Oschatz, Melanie	74
Cadorin, Vincenzo	74
Binzer, Fanny von (1831-)	74
S., J. G.	74
Müller, Johann Gottfried	74
Planer, ...	74
Rüdiger, Gerhard	74
Thiele, Heinrich	74
Michael, Klaus	74
Henschel, Estera	74
Basse de Ménorval, Eliane (1899-)	74
Schneer, Cecil J.	74
Hirsch, Nathan	74
Caradonna, Nino	74
Redden, Dorothy S.	74
Schmidt, ...	73
Smith, Johannes	73
Korn, Helene	73
Laux, Ludwig (1900-)	73
Laux, Martha	73
Schmidt-Schaller, Brigitte	73
Bäumer, Heinrich (1836-1898)	73
Brandenburg, Ulrich (1871-1945)	73
Siegert, David	73
Gouin, Louis [ermittelt]	73
Osterrieth, Ludwig Friedrich (1807-1888)	73
Vatan, André	73
Erlach-Hindelbank, Maria Anna von (1798-1871)	73
Langer, Anna	73
Müller, Peter (Priester) (1853-1925)	73
Bächler, Danielle	73
Keil, Georg Christian	73
Fickl, Josef	72
Friedrich	72
Brockhaus, F. A.	72
Müller, Franz	72
Müller, Max	72
Hohenlohe, Marie von	72
Schneider, Gotthold	72
Jordan, Fred	72
Carnap, Armand von	72
Streitberg, Elisabeth	72
Kudian, Timotheus	72
Kolasser, Christel	72
Nicolini, Hans Heinrich (1883-1961)	72
Laverdière, Camille	72
Enzensberger, Dagrun	72
Ranft, Franz (1904-)	72
Pfannenstiel, Marie	72
Kaiser, Horst	72
Mayer, Johann Georg (1824-1904)	72
Apelt, Ambrosius	72
Wöldicke, Markus	72
Langkau, Marianne	72
Meyer, A.	71
Hampel, Friedrich	71
Müller, Hermann	71
Oertel	71
Lepke, N. L.	71
Koch, Johann Heinrich	71
Langwerth, ...	71
Härtel, Gustav	71
Burgmann, Johann Gustav (1744-1795)	71
Kiewy, Hermann	71
Timm, Ulrich	71
Sachsen-Meiningen, Marie Elisabeth von	71
Marcuse, Jacob	71
Göring, Johann Friedrich (1729-1777)	71
Keller	70
Krieg, Hans	70
Erdmann	70
Schumann	70
Richter, Barbara	70
Dawison, Ludwig B...	70
Schwab, Martha	70
Heinicke, Arno	70
Fuhrmann, Karl Ludwig	70
Carozzi, Albert Victor	70
Pampus, Wilhelm (Sohn)	70
Benkovsky, Zoja (1934-)	70
König, Johann Gerhard	70
Fischer, Hans	69
Adomeit, Cornelia	69
Simon	69
Berger	69
Wolf	69
Bachmann, ...	69
Mette, Thomas	69
Dieck	69
Langer, Otto	69
Kern, Else	69
Schönemann	69
Eisenberg, Albert	69
Legewitt, Karl	69
Bachofen, Ida Louise (1881-1976)	69
Tod, Betty (1900-1962)	69
Schulz, Ilse	69
Zwanziger, Johann Caspar	69
Dorff, Paul	68
Müller, Martin	68
Walter, ...	68
Reichel	68
Reinhard, Max	68
Geissler, Hans	68
Klengel (Familie)	68
Seyffertitz, Johanna Charlotte Friederike von	68
Balk, Robert	68
Péguy, Charles-Pierre	68
Pfüller, Auguste (1816-)	68
Köpping, Walter	68
Braun, Max (1905-)	68
Müller-Thalheim, Wolfgang (1928-)	68
Alckens, August	68
Meyer, Johann Ernst	68
Lazarus, Nahida Ruth	67
Kessler, ...	67
Seidel, Alfred (1901-)	67
Hachmann, Rolf (1917-)	67
Rochlich, Edmund	67
Hurault, Jean	67
May, Heinrich von (1818-1871)	67
Krüger, Käte (-1967)	67
Philips, Marie-Louise	67
Emden, Katy (1870-)	67
Wäger, Joachim	67
