wert	haeufigkeit
Norddeutscher Rundfunk (Hannover)	54
Königliches Schauspielhaus (Berlin)	54
Hebrew Sheltering and Immigrant Aid Society of America (HIAS)	54
Hamburger Echo	54
VEB Zeitungsausschnittdienst	54
Kulturbund der Deutschen Demokratischen Republik / Bundessekretariat	54
Die Neue Rundschau (Zeitschrift)	54
Nationalrat der Nationalen Front des Demokratischen Deutschland	54
New York, The New York Times Book Review (1896-)	54
Edition Text + Kritik (Göttingen)	54
Buchhandlung Fritsch (Leipzig)	54
Erasmus. Speculum scientiarum (Zeitschrift)	54
Deutsche Tanz-Zeitschrift	54
Il nuovo cimento (Körperschaft)	54
Staat Hannover / Finanzministerium	54
Redaktion Münchner Mosaik	54
Verlag Max Hesse (Leipzig)	53
Verlag Schwetschke & Sohn (Halle, Saale)	53
Botschaft der Bundesrepublik Deutschland (London)	53
International Rescue Committee	53
Henschelverlag (Berlin, Ost)	53
Leipziger Tageblatt und Anzeiger (Zeitung) (1807-1905)	53
Rath der Stadt (Leipzig)	53
Konsistorium (Leipzig)	53
Reisebüro TTS	53
In-Stage	53
Deutsches Theater	52
Edition Text und Kritik	52
Lübeckische Blätter	52
Theateragentur Otto Mertens (Berlin)	52
Verein Junger Kaufleute (Berlin)	52
Psychologische Studien (Zeitschrift)	52
Georg Müller Verlag	51
Redaktion Stern (Hamburg)	51
Buchhandel und Verlag Mohr & Winter (Heidelberg) (1815-1822)	51
Zeitschrift für die gesamte Staatswissenschaft / Ergänzungsheft (Schriftenreihe) (1901-1920)	51
Redaktion Die Welt (Hamburg)	51
Draeseke-Gesellschaft / Ortsgruppe Dresden	50
International Rescue Committee (Genf)	50
Verlag Tägliche Rundschau (Berlin)	50
Tanz für Toleranz (1999, Bonn)	50
Reichs-Hauptbank für Werthpapiere (Berlin)	50
University Laboratory of Physiology (Oxford)	50
Johannes Asmus-Verlag	50
Abteilung für Dichtung	50
Schriftsatz Studio Kurt Grohs	50
Turmschreiber Verlag (Pfaffenhofen)	50
Savoy Gemeinde (London)	50
Limes-Verlag Max Niedermayer (Wiesbaden)	50
Aufbau (Zeitung, New York, NY) (1934-2004)	49
Offizin W. Drugulin (Leipzig)	49
Verlag der Weltbühne (Berlin, Ost) (1905-)	49
Senator für Wissenschaft und Kunst (Berlin)	49
Deutschland (DDR) / Ministerium für Kultur / Abteilung Bildende Kunst	49
Freies Wort / Redaktion (Suhl)	49
Propaganda-Ausschuß Für Groß-Berlin	49
Steuben-Verlag Paul G. Esser (Berlin-West)	49
Verband der Theaterschaffenden der DDR / Sektion Bühnentanz	49
Stuttgarter Verleger-Vereinigung (Stuttgart)	49
Buchhandlung Karl Fleckeisen (Helmstedt) [vermutlich]	49
Oberpfalz und Regensburg / Kammer des Innern	49
Paul Antoch (Bürobedarf, Schreibwaren)	49
Konstanz (Diözese) / Bischöfliches Ordinariat	49
Schleswig-Holsteinische Volks-Zeitung (Kiel)	48
Frankfurter Allgemeine Zeitung (Zeitung)	48
Akademie	48
United States / Department of State (Washington, D.C.)	48
Czech Regugee Trust Fund	48
Henschelverlag (Berlin)	48
Neue Deutsche Rundschau	48
Konsistorium (Magdeburg)	48
Preussen, Ministerium für Handel, Gewerbe und öffentliche Arbeiten (Berlin)	47
Allgemeine Zeitung (München) (1882-1929)	47
Leipziger Tageblatt und Handelszeitung (Zeitung) (1905-1925)	47
Dresden / Finanzamt	47
Ceskoslovenská Republika, Exilregierung	47
Börsenblatt für den Deutschen Buchhandel / Redaktion (Leipzig)	47
Julliard Editions (Paris)	47
Börsenblatt für den Deutschen Buchhandel	47
Berliner Tageblatt und Handels-Zeitung	47
Hessischer Rundfunk	47
Litauisches Seminar (Halle, Saale)	47
List Gesellschaft e.V. (Basel)	47
Perthes, Justus Verlagsanstalt	47
Jonathan Cape Ltd. (London)	47
New York Times (Zeitung) (1851-) [ermittelt]	47
Centro Universitario Teatrale (Parma)	47
Verlag N. Simrock (Berlin)	46
PEN (Darmstadt)	46
Sozialistische Einheitspartei Deutschlands / Kreisleitung Akademie der Wissenschaften der DDR	46
Max-Niemeyer-Verlag (Halle, Saale)	46
Dresden, Palucca-Schule	46
Schlossbibliothek (Frohburg)	46
Handelshochschule (Leipzig) / Senat	46
[ Johann Conrad ] Hinrichs`sche Buchhandlung	46
Missionary Society (London)	46
Württembergischer Buchhändler-Verein (Stuttgart)	46
Redaktion Hochland (München)	46
Danziger Rundfunk	46
Königliche Bibliothek (Berlin) / Musikabteilung	46
Allianz Lebensversicherungs-Aktiengesellschaft (Frankfurt, Main)	46
Neue Schauspiel (Düsseldorf) / Aufsichtsrat	46
Deutsches Vortrags-Amt e.V.	46
Zentralbild (Berlin)	45
Universität Leipzig. Philosophische Fakultät (Dekan)	45
Dagens Nyheter (1864-)	45
Dimension - Contemporary German Arts and Letters (Austin, Texas)	45
Revista de Derecho Privado (Madrid)	45
Gynäceum (Halle, Saale)	45
Kaiserlich leopoldinische carolinische Akademie der Naturforscher (Bonn) (1818-1878)	45
Hurter Verlags-Buchhandlung (Schaffhausen)	45
Deutsches Komitee der Kämpfer für den Frieden	45
Bayerische Vereinsbank (München) / Filiale (Regensburg)	45
Verschiedene Urheber	45
Helios Buchhandlung und Antiquariat GmbH (Berlin)	45
Kirche, Neu Jerusalem~ (Tranquebar)	45
Theatre 1964	45
Allgemeine Zeitung	44
Berliner Lokal-Anzeiger (Zeitung)	44
Berliner Zeitung (Berlin)	44
Great Britain / Home Office / Aliens Department	44
Berliner Zeitung	44
Technische Universität (Dresden) / Zentraler FDJ-Studentenklub Bärenzwinger	44
Berlin / Senatsverwaltung für Kulturelle Angelegenheiten	44
Cotta'sche Buchhandlung	44
