wert	gesamt	mit_source	anteil_mit_source_pct
Gelegenheitsschrift	101	101	100.00
Ausstellung	101	0	0.00
Bildkonvolut	101	0	0.00
Depositum in der A-Reihe	100	0	0.00
Exzerpt	100	100	100.00
Sammelstück(e)	100	0	0.00
Protokolle	97	0	0.00
Konzepte	96	0	0.00
Besitzervermerk	96	96	100.00
Industriefilm	90	0	0.00
Protokollbuch	90	90	100.00
Aufsätze zur Literatur	89	0	0.00
Bestand des Cotta-Archivs	88	0	0.00
Lyrikzyklus	88	88	100.00
Getränkekarte	87	87	100.00
Arbeitszeugnis	85	85	100.00
Randbemerkung	84	84	100.00
Negativ	84	84	100.00
Haarlocke	81	0	0.00
Studienbuch	79	0	0.00
Firmenschrift	78	78	100.00
Fragmente	73	0	0.00
Aufsätze	73	0	0.00
Adaption <Literatur>	72	72	100.00
Karikatur	71	71	100.00
Erlebnisbericht	70	0	0.00
Poesiealbum	70	70	100.00
Scherenschnitt	68	68	100.00
Beischrift	67	67	100.00
Radierung	66	66	100.00
Orden <Ehrenzeichen>	64	64	100.00
Heft	63	63	100.00
Psalm	62	0	0.00
Sage	60	60	100.00
Oper	60	0	0.00
Verlagsarchiv	58	0	0.00
Werkstattpapier	58	0	0.00
Volkslied	57	0	0.00
Rezepte	56	0	0.00
Szenarium	56	56	100.00
Exlibris	55	55	100.00
Hochschulschrift	53	0	0.00
Dia	53	53	100.00
Rundfunkmanuskript	51	51	100.00
Sinfonie	50	0	0.00
Agenda	50	0	0.00
Aphorismen	48	0	0.00
Video	48	48	100.00
Interpretation	47	47	100.00
Kirchenlied	45	0	0.00
Reifezeugnis	45	45	100.00
Erzählungen	44	0	0.00
CD-ROM	44	5	11.36
Gespräche	43	0	0.00
DVD-ROM	43	0	0.00
Aufzeichnung	43	43	100.00
Dissertation	41	41	100.00
Comic	40	40	100.00
Trio	39	0	0.00
Dienstlicher Nachlass	39	0	0.00
Essayistisches	38	0	0.00
Aufsätze und Vorträge	37	0	0.00
Publikation	37	30	81.08
Weihnachtslied	36	0	0.00
Vorlesungen und Seminare	35	0	0.00
Arie	34	0	0.00
Rekonstruierter Nachlass	34	0	0.00
Ouvertüre	33	0	0.00
Redaktionsarchiv	30	0	0.00
Quartett	30	0	0.00
Messe	30	0	0.00
Diktat	30	30	100.00
Newsletter	30	30	100.00
Typoskript Publikation	30	0	0.00
Seminare	29	0	0.00
Deposita d. Arbeitsstelle f. literarische Museen, Archive u. Gedenkstätten in Baden-Württemberg	29	0	0.00
Fotonegativ	29	0	0.00
Fernschreiben	29	29	100.00
Sonate	28	0	0.00
Motette	28	0	0.00
Miszellaneen	28	28	100.00
Graphik	28	0	0.00
Seminare und Übungen	27	0	0.00
Essays	27	0	0.00
Libretto	27	27	100.00
Theaterstück	26	0	0.00
Künstlerbuch	25	0	0.00
Zeitung	24	14	58.33
Duo	23	0	0.00
Predigthilfe	23	0	0.00
Zeitungsausschnitt	23	23	100.00
Gesamtausgabe	22	22	100.00
Mikrofilm	22	22	100.00
Choralvorspiel	21	0	0.00
Handlungsskizze	21	0	0.00
Autobiographische Aufsätze	20	0	0.00
Konzert	20	0	0.00
Akte, Archivalie	20	0	0.00
Komposition	20	20	100.00
Rundfunkskripte	19	0	0.00
Mischnachlass	19	0	0.00
Kantate	18	0	0.00
Duett	18	0	0.00
DVD-Video	18	0	0.00
Kritiken	16	0	0.00
Werkverzeichnisse	16	0	0.00
Aufführungsmaterial	16	0	0.00
CD	16	0	0.00
Todesanzeige	16	16	100.00
Typoskript Vorlesung	16	0	0.00
Depositum in der B-Reihe	15	0	0.00
Arbeiten zum Büchereiwesen	14	0	0.00
Variation	14	6	42.86
Hymnus	14	0	0.00
Offertorium	14	0	0.00
Konvolut	14	0	0.00
Ave Maria	13	0	0.00
Antiphon	13	0	0.00
Ausstellungskatalog	13	0	0.00
Literarischer Nachlass	13	13	100.00
Jüdische Aufsätze	12	0	0.00
Sammelrezensionen	12	0	0.00
Choralbearbeitung	12	0	0.00
Pange lingua	12	0	0.00
Dekret	12	12	100.00
Teilvorlass	11	0	0.00
Autographensammlung	11	0	0.00
Diskette	11	0	0.00
Miniatur	11	11	100.00
Rundfunkmanuskripte	10	0	0.00
Annalen	10	10	100.00
Unterschrift	10	10	100.00
Personaldokument	10	0	0.00
Vorträge	9	0	0.00
Verlagskorrespondenz	9	0	0.00
Reiseberichte	9	0	0.00
Stück	9	0	0.00
Kanon	9	0	0.00
Suite	9	0	0.00
Videoaufzeichnung	9	9	100.00
Artikel	9	0	0.00
Periodikum	9	0	0.00
USB-Stick	8	0	0.00
Partita	8	0	0.00
Kirchenlied (lateinisch)	8	0	0.00
Aufzeichnungen	8	0	0.00
Kartenmaterial	8	0	0.00
Sammelmappen	7	0	0.00
Materialien	7	0	0.00
Einleitungen	7	0	0.00
P	7	0	0.00
Passion	7	0	0.00
